,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Tenure_ratio,tenure_ratio
0,7590-VHVEG,1,0,0.0,Electronic check,29.85,29.85,No,29.85,0.03350083752093802
1,5575-GNVDE,34,1,1.0,Mailed check,56.95,1889.5,No,1.675,0.01799417835406192
2,3668-QPYBK,2,1,0.0,Mailed check,53.85,108.15,Yes,26.925,0.01849283402681461
3,7795-CFOCW,45,0,1.0,Bank transfer (automatic),42.3,1840.75,No,0.94,0.024446557109873694
4,9237-HQITU,2,1,0.0,Electronic check,70.7,151.65,Yes,35.35,0.013188262446422683
5,9305-CDSKC,8,1,0.0,Electronic check,99.65,820.5,Yes,12.45625,0.009750152346130409
6,1452-KIOVK,22,1,0.0,Credit card (automatic),89.1,1949.4,No,4.05,0.01128552375089771
7,6713-OKOMC,10,0,0.0,Mailed check,29.75,301.9,No,2.975,0.03312355084465055
8,7892-POOKP,28,1,0.0,Electronic check,104.8,3046.05,Yes,3.742857142857143,0.009192232563483855
9,6388-TABGU,62,1,1.0,Bank transfer (automatic),56.15,3487.95,No,0.9056451612903226,0.017775484166917533
10,9763-GRSKD,13,1,0.0,Mailed check,49.95,587.45,No,3.8423076923076924,0.022129542939824665
11,7469-LKBCI,16,1,,Credit card (automatic),18.95,326.8,No,1.184375,0.04895960832313341
12,8091-TTVAX,58,1,1.0,Credit card (automatic),100.35,5681.1,No,1.7301724137931034,0.010209290454313425
13,0280-XJGEX,49,1,0.0,Bank transfer (automatic),103.7,5036.3,Yes,2.1163265306122447,0.009729364811468737
14,5129-JLPIS,25,1,0.0,Electronic check,105.5,2686.05,No,4.22,0.009307347219895385
15,3655-SNQYZ,69,1,,Credit card (automatic),113.25,7895.15,No,1.641304347826087,0.008739542630602332
16,8191-XWSZG,52,1,1.0,Mailed check,20.65,1022.95,No,0.3971153846153846,0.05083337406520357
17,9959-WOFKT,71,1,,Bank transfer (automatic),106.7,7382.25,No,1.5028169014084507,0.009617663991330556
18,4190-MFLUW,10,1,0.0,Credit card (automatic),55.2,528.35,Yes,5.5200000000000005,0.018926847733509982
19,4183-MYFRB,21,1,0.0,Electronic check,90.05,1862.9,No,4.288095238095238,0.011272746792635138
20,8779-QRDMV,1,0,0.0,Electronic check,39.65,39.65,Yes,39.65,0.025220680958385876
21,1680-VDCWW,12,1,1.0,Bank transfer (automatic),19.8,202.25,No,1.6500000000000001,0.059332509270704575
22,1066-JKSGK,1,1,0.0,Mailed check,20.15,20.15,Yes,20.15,0.04962779156327544
23,3638-WEABW,58,1,,Credit card (automatic),59.9,3505.1,No,1.032758620689655,0.016547316766996664
24,6322-HRPFA,49,1,0.0,Credit card (automatic),59.6,2970.3,No,1.2163265306122448,0.016496650170016496
25,6865-JZNKO,30,1,0.0,Bank transfer (automatic),55.3,1530.6,No,1.8433333333333333,0.01960015680125441
26,6467-CHFZW,47,1,0.0,Electronic check,99.35,4749.15,Yes,2.1138297872340424,0.00989650779613194
27,8665-UTDHZ,1,0,0.0,Electronic check,30.2,30.2,Yes,30.2,0.033112582781456956
28,5248-YGIJN,72,1,,Credit card (automatic),90.25,6369.45,No,1.2534722222222223,0.011303958740550598
29,8773-HHUOZ,17,1,0.0,Mailed check,64.7,1093.1,Yes,3.8058823529411767,0.015552099533437015
30,3841-NFECX,71,1,,Credit card (automatic),96.35,6766.95,No,1.3570422535211266,0.010492171510059925
31,4929-XIHVW,2,1,0.0,Credit card (automatic),95.5,181.65,No,47.75,0.011010184420589044
32,6827-IEAUQ,27,1,1.0,Mailed check,66.15,1874.45,No,2.45,0.014404225239403557
33,7310-EGVHZ,1,1,0.0,Bank transfer (automatic),20.2,20.2,No,20.2,0.04950495049504951
34,3413-BMNZE,1,1,0.0,Bank transfer (automatic),45.25,45.25,No,45.25,0.022099447513812154
35,6234-RAAPL,72,1,,Bank transfer (automatic),99.9,7251.7,No,1.3875000000000002,0.00992870637229891
36,6047-YHPVI,5,1,0.0,Electronic check,69.7,316.9,Yes,13.940000000000001,0.01577784790154623
37,6572-ADKRS,46,1,0.0,Credit card (automatic),74.8,3548.3,No,1.626086956521739,0.012963954569793986
38,5380-WJKOV,34,1,0.0,Electronic check,106.35,3549.25,Yes,3.1279411764705882,0.00957948862435726
39,8168-UQWWF,11,1,0.0,Bank transfer (automatic),97.85,1105.4,Yes,8.895454545454545,0.00995114890537362
40,8865-TNMNX,10,1,1.0,Mailed check,49.55,475.7,No,4.955,0.021021652301870926
41,9489-DEDVP,70,1,,Credit card (automatic),69.2,4872.35,No,0.9885714285714287,0.014366783995402628
42,9867-JCZSP,17,1,1.0,Mailed check,20.75,418.25,No,1.2205882352941178,0.04064554692169755
43,4671-VJLCL,63,1,,Credit card (automatic),79.85,4861.45,No,1.2674603174603174,0.01295909656583941
44,4080-IIARD,13,1,0.0,Electronic check,76.2,981.45,No,5.861538461538462,0.013245707881196188
45,3714-NTNFO,49,1,0.0,Electronic check,84.5,3906.7,No,1.7244897959183674,0.01254255509765275
46,5948-UJZLF,2,1,0.0,Mailed check,49.25,97.0,No,24.625,0.020618556701030927
47,7760-OYPDY,2,1,0.0,Electronic check,80.65,144.15,Yes,40.325,0.013874436351023239
48,7639-LIAYI,52,1,,Credit card (automatic),79.75,4217.8,No,1.5336538461538463,0.012328702167006496
49,2954-PIBKO,69,1,,Credit card (automatic),64.15,4254.1,No,0.9297101449275363,0.016219646928845113
50,8012-SOUDQ,43,1,0.0,Electronic check,90.25,3838.75,No,2.0988372093023258,0.011201563008791925
51,9420-LOJKX,15,1,0.0,Credit card (automatic),99.1,1426.4,Yes,6.6066666666666665,0.010515984296130118
52,6575-SUVOI,25,1,0.0,Credit card (automatic),69.5,1752.65,No,2.78,0.014264114341140558
53,7495-OOKFY,8,1,0.0,Credit card (automatic),80.65,633.3,Yes,10.08125,0.012632243802305385
54,4667-QONEA,60,1,1.0,Credit card (automatic),74.85,4456.35,No,1.2474999999999998,0.013463933488168567
55,1658-BYGOY,18,1,0.0,Electronic check,95.45,1752.55,Yes,5.302777777777778,0.01027074833813586
56,8769-KKTPH,63,1,1.0,Credit card (automatic),99.65,6311.2,No,1.581746031746032,0.009982253771073648
57,5067-XJQFU,66,1,1.0,Electronic check,108.45,7076.35,No,1.6431818181818183,0.009326842227984765
58,3957-SQXML,34,1,,Credit card (automatic),24.95,894.3,No,0.7338235294117647,0.03801856200380186
59,5954-BDFSG,72,1,,Credit card (automatic),107.5,7853.7,No,1.4930555555555556,0.00916765346269911
60,0434-CSFON,47,1,0.0,Electronic check,100.5,4707.1,No,2.1382978723404253,0.009984916402880753
61,1215-FIGMP,60,1,0.0,Bank transfer (automatic),89.9,5450.7,No,1.4983333333333335,0.011007760471132149
